# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 6.1025e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 3.2175e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 2.1811e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.6567e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.3431e-01
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 1.1363e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 9.9110e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 8.8471e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 8.0444e-02
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 7.4268e-02
