# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.2883e+00
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.1718e+00
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.0648e+00
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 9.7179e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 8.7702e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 7.8083e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 7.0111e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 6.0208e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 5.0629e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 4.1642e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 3.3273e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 2.6811e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 1.8543e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.0030e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 4.4873e-02
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 5.5000e+01, -1.8345e-02
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 7.2000e+01, -7.3501e-02
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, -1.2047e-01
1, 3, 1.9700e+01, 1.5000e+01, 1.0000e+00, 9.9000e+01, -1.4091e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.0000e-03, 1.7218e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 2.0000e-03, 1.5425e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 5.0000e-03, 1.3311e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 8.0000e-03, 1.2329e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.1885e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.0994e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.0067e+00
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 9.2205e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 8.3863e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 7.6209e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 6.9552e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 6.2769e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 5.5884e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 5.0179e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 4.3091e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 3.6235e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 2.9804e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 2.3814e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 1.9189e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 1.3271e-01
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 7.1784e-02
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.2116e-02
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 5.5000e+01, -1.3129e-02
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 7.2000e+01, -5.2605e-02
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 9.0000e+01, -8.6223e-02
1, 4, 1.9700e+01, 2.0000e+01, 1.0000e+00, 9.9000e+01, -1.0085e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.0000e-03, 1.3357e+00
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 2.0000e-03, 1.1966e+00
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 5.0000e-03, 1.0326e+00
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 8.0000e-03, 9.5643e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 9.2200e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 8.5287e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 7.8093e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 7.1528e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 6.5057e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 5.9119e-01
1, 5, 1.9700e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 5.3955e-01
