# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 9.2537e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 8.1755e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 6.6819e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 5.9346e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 5.5917e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 4.9039e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 4.2040e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 3.5972e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 3.0453e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 2.5638e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 2.1678e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 1.8141e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 1.4984e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 1.2782e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 1.0437e+01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 8.5311e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 6.9883e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 5.7281e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 4.8824e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 3.9325e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 3.1929e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 2.8954e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.5000e+01, 2.6662e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 7.2000e+01, 2.7261e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 2.8690e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.9000e+01, 2.9380e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 6.3060e+01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 2.0000e-03, 5.4871e+01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 4.3860e+01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 8.0000e-03, 3.8469e+01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 3.6021e+01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.1153e+01
