# This file is generated on 02-Oct-2023 at 12:34:01 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 1.3308e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 1.1921e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 1.0288e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 9.5288e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 9.1857e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 8.4970e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 7.7803e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 7.1262e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 6.4816e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 5.8899e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 5.3755e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.8512e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 4.3191e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.8782e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 3.3304e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.8005e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.3034e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.8405e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.4830e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.0257e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 5.5480e-01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 2.4822e-01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 5.5000e+01, -1.0147e-01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 7.2000e+01, -4.0657e-01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -6.6640e-01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 9.9000e+01, -7.7944e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 5.8190e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 2.0000e-03, 5.2128e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 4.4985e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 8.0000e-03, 4.1667e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 4.0167e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.7155e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.4021e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 3.1161e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 2.8342e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 2.5755e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 2.3505e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.1213e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.8886e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.6958e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.4563e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.2246e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.0072e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 8.0480e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 6.4848e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 4.4850e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 2.4260e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 1.0854e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 5.5000e+01, -4.4371e-02
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 7.2000e+01, -1.7778e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, -2.9140e-01
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 9.9000e+01, -3.4083e-01
1, 3, 3.9400e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 3.6046e+00
1, 3, 3.9400e+01, 1.5000e+01, 1.0000e+00, 2.0000e-03, 3.2291e+00
1, 3, 3.9400e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 2.7866e+00
1, 3, 3.9400e+01, 1.5000e+01, 1.0000e+00, 8.0000e-03, 2.5811e+00
