# This file is generated on 02-Oct-2023 at 12:34:01 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 2.0946e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 1.9037e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 1.6175e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 1.4662e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.3951e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.2493e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0963e+02
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 9.5975e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 8.3196e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 7.1382e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 6.1103e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 5.1654e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 4.2870e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.6578e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.9619e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.3750e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 1.8832e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.4711e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.1917e+01
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 8.7625e+00
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 6.3864e+00
