# This file is generated on 26-Aug-2022 at 14:00:14 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.3716e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.2435e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1439e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.0679e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.0118e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9733e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9507e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.9433e-01
