# This file is generated on 26-Aug-2022 at 14:00:14 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.4951e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.4951e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.4951e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.4951e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.4951e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.4006e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 2.2297e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 2.0512e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.8336e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.6586e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.4167e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.1647e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 9.0955e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 6.6381e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.8388e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.6736e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 1.0412e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 5.4478e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 9.3289e-03
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.3842e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.2939e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 2.1306e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.9600e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.7521e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.5848e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.3538e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.1129e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 8.6912e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 6.3430e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.6237e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.5548e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.9493e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 5.2057e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.9143e-03
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.2995e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.2124e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 2.0549e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.8904e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.6899e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.5285e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.3057e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.0734e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 8.3825e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 6.1177e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.4595e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.4640e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.5958e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 5.0208e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.5976e-03
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.2371e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.1523e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 1.9991e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.8391e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.6440e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.4870e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.2702e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.0443e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 8.1548e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 5.9515e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.3384e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.3971e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.3352e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 4.8844e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.3641e-03
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.1942e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.1110e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 1.9607e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.8038e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.6125e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.4585e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.2458e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.0242e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 7.9985e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 5.8374e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.2552e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.3511e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.1562e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 4.7907e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.2037e-03
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.1691e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.0869e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 1.9383e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.7832e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.5940e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.4418e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.2316e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.0125e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 7.9070e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 5.7707e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.2065e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.3243e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.0516e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 4.7360e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.1100e-03
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 2.1608e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.0790e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 1.9309e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 1.7764e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 1.5880e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 1.4363e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.2269e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.0087e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 7.8769e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 5.7487e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 4.1905e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 2.3154e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 9.0171e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 4.7180e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 8.0791e-03
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
