# This file is generated on 02-Oct-2023 at 12:30:51 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.6681e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.2305e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.6766e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.4174e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.3021e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.0774e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 8.5773e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 6.7468e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 5.1452e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 3.8787e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.9472e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.1633e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.5322e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.1247e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 7.4519e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 4.8802e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 3.2236e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.1674e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.5883e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.0646e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 7.0546e-02
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 5.4056e-02
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 4.0003e-02
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 3.0848e-02
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.4783e-02
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.2548e-02
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.6059e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.1767e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.6344e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.3809e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.2683e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.0488e+01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 8.3445e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 6.5597e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 4.9993e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 3.7664e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.8603e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.0982e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.4851e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 1.0895e+00
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 7.2141e-01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 4.7213e-01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 3.1167e-01
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 2.4346e+00, 3.6785e+01, 9.0732e-02, 1.0228e+00, 2.0944e-01
