# This file is generated on 02-Oct-2023 at 12:30:51 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 6.9462e-02
1, 2, 1.9700e+01, 6.0000e+01, 1.0000e+00, 6.5708e-02
1, 3, 1.9700e+01, 6.5000e+01, 1.0000e+00, 6.2792e-02
1, 4, 1.9700e+01, 7.0000e+01, 1.0000e+00, 6.0564e-02
1, 5, 1.9700e+01, 7.5000e+01, 1.0000e+00, 5.8922e-02
1, 6, 1.9700e+01, 8.0000e+01, 1.0000e+00, 5.7793e-02
1, 7, 1.9700e+01, 8.5000e+01, 1.0000e+00, 5.7134e-02
1, 8, 1.9700e+01, 9.0000e+01, 1.0000e+00, 5.6916e-02
