# This file is generated on 26-Oct-2022 at 15:56:18 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.4407e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.3035e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.0878e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.7022e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.1425e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 7.9799e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 6.7400e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 5.6136e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 4.5408e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.6170e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.8796e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.2050e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.6085e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.1844e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 8.2090e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 5.6506e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.9103e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.7439e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.0768e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.4492e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.9960e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 7.8552e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 5.9776e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 4.7199e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.8668e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.5476e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.4544e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.3179e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.1020e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.8387e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.2756e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 8.1041e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 6.8525e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 5.7133e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 4.6262e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.6881e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.9379e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.2502e+01
